comparison,source,latent_dim,reference_dim,seed,new_context,old_reference_dim,old_context,new_valid,old_valid,new_total,old_total,delta_position_mse,delta_response_mae,delta_response_r2
reduce_reference,depablo_low_temp,4,8,3456456,16,96,16,20,20,20,20,-1.2170415629952927e-06,0.0014655029922678864,-0.004707780350999613
reduce_reference,depablo_mixed_temp,4,8,3456456,16,96,16,20,20,20,20,-2.0829248796871573e-07,-0.004704991971274969,0.012932766267255924
reduce_reference,reid,4,8,3456456,16,96,16,20,20,20,20,1.6301724599543336e-06,0.0003500915726647319,0.0040367537066061665
remove_context_same_ae,depablo_low_temp,4,8,123,0,8,16,20,20,20,20,1.0728798213222036e-05,0.12275779288386782,-0.42813268000992666
combine,depablo_low_temp,4,8,123,0,96,16,20,20,20,20,1.0937227057183919e-05,0.14827963660568116,-0.4579826134590034
remove_context_same_ae,depablo_mixed_temp,4,8,123,0,8,16,20,20,20,20,1.615387948277203e-05,0.191715591109271,-0.6392583376622281
combine,depablo_mixed_temp,4,8,123,0,96,16,20,20,20,20,1.5565524893190738e-05,0.2048053323505527,-0.646382894570972
remove_context_same_ae,reid,4,8,123,0,8,16,20,20,20,20,1.7790351262192412e-05,0.23930806365318147,-2.8890821263538724
combine,reid,4,8,123,0,96,16,20,20,20,20,1.6992988776109996e-05,0.22820663852394305,-2.839735358134376
reduce_reference,depablo_low_temp,4,8,123,16,96,16,20,20,20,20,2.084288439618831e-07,0.025521843721813348,-0.029849933449076715
reduce_reference,depablo_mixed_temp,4,8,123,16,96,16,20,20,20,20,-5.883545895812913e-07,0.013089741241281705,-0.0071245569087439176
reduce_reference,reid,4,8,123,16,96,16,20,20,20,20,-7.973624860824162e-07,-0.011101425129238424,0.04934676821949657
remove_context_same_ae,depablo_low_temp,4,8,456,0,8,16,20,20,20,20,1.1921845509732521e-05,0.15449068270157218,-0.39945775151893614
combine,depablo_low_temp,4,8,456,0,96,16,20,20,20,20,1.3777846470475197e-05,0.1535364872136477,-0.41314067954427147
remove_context_same_ae,depablo_mixed_temp,4,8,456,0,8,16,20,20,20,20,2.035781354834399e-05,0.19668652408060927,-0.5658731451923619
combine,depablo_mixed_temp,4,8,456,0,96,16,20,20,20,20,2.226472822712822e-05,0.2076224514232224,-0.5955700937330094
remove_context_same_ae,reid,4,8,456,0,8,16,20,20,20,20,1.5110558035758007e-05,0.1947529631021652,-2.255616508839865
combine,reid,4,8,456,0,96,16,20,20,20,20,1.580317546086008e-05,0.207242959490603,-2.2926990400410565
reduce_reference,depablo_low_temp,4,8,456,16,96,16,20,20,20,20,1.8560009607426757e-06,-0.0009541954879244696,-0.013682928025335328
reduce_reference,depablo_mixed_temp,4,8,456,16,96,16,20,20,20,20,1.9069146787842301e-06,0.01093592734261313,-0.029696948540647528
reduce_reference,reid,4,8,456,16,96,16,20,20,20,20,6.926174251020725e-07,0.012489996388437827,-0.03708253120119098
remove_context_same_ae,depablo_low_temp,4,8,786,0,8,16,20,20,20,20,1.175633893808481e-05,0.16535117830372179,-0.5071502671254231
combine,depablo_low_temp,4,8,786,0,96,16,20,20,20,20,1.1386166590909852e-05,0.1673553855176852,-0.5211533275261473
remove_context_same_ae,depablo_mixed_temp,4,8,786,0,8,16,20,20,20,20,1.5965639477144578e-05,0.19258383588110034,-0.6605633799929922
combine,depablo_mixed_temp,4,8,786,0,96,16,20,20,20,20,1.6556700779801757e-05,0.20599867288978713,-0.6843241896805344
remove_context_same_ae,reid,4,8,786,0,8,16,20,20,20,20,1.2057765934514465e-05,0.16693587652851016,-2.2839177144982106
combine,reid,4,8,786,0,96,16,20,20,20,20,1.3299398324306823e-05,0.2097029137685809,-2.484997587650654
reduce_reference,depablo_low_temp,4,8,786,16,96,16,20,20,20,20,-3.7017234717495807e-07,0.0020042072139634035,-0.014003060400724188
reduce_reference,depablo_mixed_temp,4,8,786,16,96,16,20,20,20,20,5.910613026571796e-07,0.013414837008686814,-0.02376080968754224
reduce_reference,reid,4,8,786,16,96,16,20,20,20,20,1.2416323897923576e-06,0.04276703724007076,-0.2010798731524429
